8 The Ferry
4 9 1409 8979
Thomas BYRNE, Alba
Kevin CORDELL, SNP
Craig DUNCAN, SLD
Qaiser HABIB, SNP
Mark PARSONS, Grn
DEREK SCOTT, Con
PHILIP SCOTT, Con
Pete SHEARS, Lab
Carole SMITH, SFP
1 6 0 3 0 5 1 2 4 7
1 9 1 6 2 5 3 4 7 8
1 8 6 1 7 5 3 4 2 9
1 0 0 1 0 3 4 5 2 6
1 8 2 1 3 4 7 6 5 9
1 5 0 3 0 4 1 2 0 0
1 0 5 4 0 3 1 2 0 0
2 5 1 3 2 4 0 0 6 0
1 0 0 2 0 5 1 3 4 0
1 0 0 1 4 2 0 0 3 0
1 0 0 2 0 1 3 0 0 0
1 4 0 3 0 0 2 1 0 0
1 8 4 1 5 3 6 7 2 9
1 4 5 3 6 2 7 8 1 0
1 0 0 0 0 1 0 3 2 0
1 2 0 3 0 0 4 0 1 0
1 8 3 1 2 4 6 7 5 9
2 0 0 4 0 0 1 3 2 0
2 0 0 2 0 0 1 3 4 5
1 4 0 6 0 5 2 3 7 1
9 0 0 1 3 2 0 0 0 0
9 0 0 4 0 0 2 3 1 0
1 0 1 0 2 0 0 0 3 4
1 0 0 2 3 0 1 0 0 0
1 2 0 0 0 0 3 4 1 0
2 3 2 5 1 4 8 9 6 7
2 0 2 4 3 1 0 0 5 0
1 9 6 1 7 5 3 2 4 8
1 0 3 1 4 5 0 0 2 0
1 0 2 3 0 4 0 0 1 0
1 3 2 0 1 4 0 0 5 0
1 0 0 1 0 2 4 5 3 0
1 3 0 0 0 2 0 0 0 1
1 8 3 1 2 6 4 7 5 9
1 9 2 3 1 8 4 5 6 7
1 5 4 2 3 7 8 9 1 6
1 9 5 2 6 7 3 4 1 8
2 3 1 0 2 0 0 0 0 4
1 0 2 1 3 4 0 0 0 5
1 1 2 0 4 0 0 0 3 0
1 6 4 3 5 2 7 8 1 9
1 3 4 1 2 5 0 0 0 0
25 0 0 1 0 0 0 0 0 2
1 0 3 1 4 0 0 0 0 2
1 0 0 1 0 2 0 0 4 3
2 6 2 1 3 5 8 9 4 7
1 8 7 1 9 6 2 3 4 5
1 0 0 0 0 3 1 0 2 0
4 0 1 3 0 0 0 0 2 0
1 6 4 1 5 2 0 0 3 0
1 3 4 2 0 0 0 0 1 0
1 0 1 2 5 0 0 4 3 0
14 3 1 0 2 4 0 0 0 0
1 0 1 4 2 0 0 0 0 3
2 3 0 1 0 0 0 0 0 2
3 5 1 3 2 4 7 8 6 9
1 0 2 0 1 3 0 0 0 4
21 0 0 1 2 0 0 0 0 0
1 7 3 4 2 1 8 9 5 6
1 0 5 2 3 4 0 0 1 0
1 5 4 1 3 6 0 0 2 0
5 0 2 0 0 1 0 0 0 0
3 0 2 5 3 1 0 0 4 0
1 4 2 7 1 3 0 0 6 5
1 0 1 5 3 4 0 0 2 0
2 0 1 2 4 0 3 0 0 0
1 0 0 5 0 0 1 2 4 3
1 6 2 4 1 3 9 8 5 7
1 7 2 5 1 3 0 0 4 6
1 1 2 4 3 0 0 0 0 0
1 6 1 3 2 5 7 8 4 9
1 5 3 8 4 6 1 2 7 9
1 0 4 2 1 0 0 0 3 0
1 3 1 0 0 0 0 0 2 0
2 1 4 5 6 7 2 3 8 9
1 6 1 3 7 4 8 2 5 9
1 2 6 1 5 3 0 0 4 0
1 7 4 3 5 6 1 2 0 0
1 7 5 2 6 8 1 3 4 9
1 3 4 1 5 6 2 7 8 9
3 0 0 3 0 5 1 2 4 6
1 6 9 7 8 1 4 3 5 2
1 0 0 0 1 0 0 0 2 0
1 0 1 3 6 2 4 5 7 0
1 5 0 3 0 4 2 1 0 0
3 0 3 5 2 4 0 0 1 0
2 0 1 2 4 0 0 0 3 0
1 0 3 5 2 1 7 6 4 0
117 0 0 1 0 0 2 3 4 0
12 0 0 1 0 0 4 3 2 0
1 4 6 1 2 3 0 0 5 0
1 3 2 6 1 4 8 9 7 5
2 0 0 1 0 0 3 0 0 2
3 0 2 0 0 3 0 0 1 0
1 5 1 4 2 0 0 0 3 0
1 6 2 1 3 4 8 7 5 9
1 3 2 0 4 1 0 0 0 0
1 4 6 1 7 5 2 3 8 9
1 9 7 3 8 4 1 2 6 5
1 7 3 2 4 1 8 9 5 6
1 3 1 6 2 5 0 0 4 0
2 0 2 1 3 0 4 5 0 0
1 7 2 5 1 4 8 9 3 6
1 9 7 1 6 8 3 4 2 5
4 0 0 1 0 2 3 4 5 0
1 0 0 4 0 0 3 2 0 1
1 3 0 2 0 0 0 0 1 4
1 5 4 1 0 2 0 0 0 3
1 1 3 2 4 0 0 0 0 0
1 5 1 4 2 6 8 9 3 7
7 0 0 1 0 3 2 0 0 0
1 6 9 5 8 4 1 2 3 7
4 0 0 1 0 3 4 5 2 0
1 0 0 0 2 0 1 3 0 0
1 5 6 1 7 9 2 3 8 4
4 4 0 1 0 0 2 3 0 0
1 0 0 4 0 5 2 3 1 0
41 0 0 3 0 2 0 0 1 0
17 0 3 2 0 0 0 0 1 0
6 0 1 0 0 2 0 0 3 0
4 0 0 3 0 4 1 2 0 0
1 6 1 2 3 4 0 0 5 0
1 7 1 6 2 4 8 9 3 5
1 5 3 1 2 4 7 8 9 6
71 0 2 1 0 0 0 0 0 0
1 9 5 1 6 2 7 8 3 4
14 1 0 0 0 0 0 0 0 0
2 9 2 1 4 5 3 6 7 8
1 0 0 2 4 3 0 0 1 0
16 4 2 0 1 3 0 0 0 0
3 0 0 2 1 0 0 0 3 0
1 0 0 1 4 0 2 3 5 0
1 1 0 0 0 0 3 4 0 2
3 0 2 0 1 0 3 0 0 0
7 0 3 4 2 1 0 0 0 0
2 0 0 5 0 0 1 2 3 4
1 4 0 0 0 0 1 2 0 3
5 7 2 1 3 4 8 9 5 6
1 0 0 0 0 0 3 4 2 1
3 0 1 2 3 4 0 0 5 0
451 0 0 3 0 0 1 2 0 0
1 3 1 2 4 0 0 0 0 0
1 0 3 2 4 0 0 0 1 0
1 2 1 6 4 3 8 9 5 7
1 1 0 6 0 0 2 3 4 5
1 8 3 1 4 2 6 7 5 9
1 0 0 2 0 0 1 0 0 3
2 7 1 3 2 4 8 9 5 6
25 0 3 1 0 0 0 0 2 0
1 6 1 3 2 4 7 8 5 9
1 9 8 1 7 2 6 5 3 4
1 1 0 0 0 0 0 0 3 2
1 6 4 2 5 3 7 8 1 9
1 7 8 5 9 6 1 2 4 3
1 8 6 1 7 4 2 3 5 9
1 4 0 2 0 1 0 0 3 5
1 0 4 0 0 3 1 2 0 0
3 6 5 3 4 2 7 8 1 9
1 2 1 4 3 0 0 0 0 0
469 0 1 0 2 0 0 0 0 0
3 0 3 0 0 2 0 0 1 0
1 6 7 3 8 2 4 5 1 9
1 9 6 1 7 4 2 3 8 5
1 0 1 0 2 4 3 0 0 0
1 0 0 1 0 3 4 0 2 0
5 0 0 3 0 0 0 0 1 2
3 0 2 0 1 0 3 4 0 0
1 4 3 5 2 1 9 8 6 7
2 8 4 1 5 6 2 3 7 9
2 9 1 3 2 4 5 6 7 8
1 0 2 5 1 3 0 0 4 0
1 0 0 0 0 1 4 3 2 0
1 5 2 7 1 4 8 9 3 6
1 6 8 1 9 7 2 3 4 5
1 1 2 3 4 0 0 0 0 0
1 0 1 0 2 3 6 0 4 5
7 0 3 2 1 0 0 0 0 0
2 0 3 2 0 1 0 0 0 0
1 5 3 1 2 4 0 0 6 0
1 4 3 0 1 5 0 0 2 0
1 0 3 1 5 0 4 6 2 0
1 0 3 5 1 2 0 0 4 0
12 0 0 0 0 3 1 2 0 0
1 6 0 1 0 0 4 5 3 2
3 0 0 0 2 3 0 0 1 0
1 5 3 8 2 4 1 9 7 6
1 9 3 1 6 8 2 4 5 7
1 6 5 3 4 1 7 8 2 9
1 3 1 6 2 4 0 0 5 0
2 6 3 5 2 1 7 8 4 9
1 0 0 3 0 0 4 2 0 1
1 9 8 4 7 6 1 2 5 3
1 1 0 0 0 0 2 0 3 0
1 7 5 6 0 0 1 2 3 4
3 0 0 3 0 0 2 1 4 5
1 6 3 4 2 1 8 9 5 7
2 2 0 1 0 0 0 0 3 0
1 3 4 1 5 6 8 9 2 7
2 9 7 1 8 6 3 4 2 5
1 4 1 8 2 3 6 7 5 9
1 6 8 3 7 9 1 2 4 5
1 5 4 1 7 6 2 3 8 9
1 9 1 4 2 5 6 7 3 8
1 5 1 6 2 3 0 0 4 7
1 4 2 5 1 3 7 8 6 0
1 5 8 1 9 7 2 3 6 4
1 2 7 3 1 4 5 6 9 8
1 0 2 5 1 3 0 0 0 4
3 0 0 2 0 1 0 0 0 3
1 0 0 0 2 3 1 0 0 0
1 5 2 4 3 6 8 9 1 7
1 6 5 4 3 7 2 8 1 9
1 4 7 2 8 3 5 6 1 0
4 5 1 4 2 3 0 0 0 0
3 0 5 2 4 3 0 0 1 0
1 1 3 5 4 2 0 0 0 0
10 0 0 1 3 0 0 0 2 0
2 0 0 0 2 1 0 0 0 0
1 3 2 4 1 5 0 0 0 0
1 1 2 4 3 5 8 9 6 7
1 5 1 4 2 3 8 7 6 9
1 5 8 4 0 7 1 2 6 3
1 0 4 1 5 2 6 0 3 0
1 0 4 0 1 3 0 0 2 0
1 6 1 5 2 3 8 4 7 9
3 0 1 0 0 0 2 0 0 0
1 6 2 4 1 3 0 0 5 0
1 0 0 3 0 1 2 4 0 0
1 7 9 1 8 6 3 2 5 4
9 0 3 1 0 0 2 0 0 0
12 0 0 1 0 2 3 0 0 0
1 0 2 4 1 5 0 0 3 0
