2 Lochee
4 9 1267 5843
Jonathan BREMNER, SLD
James HOSIE, SFP
Gavin MACKENZIE, Con
Charlie MALONE, Lab
Alan ROSS, Alba
Wendy SCULLIN, Lab
Roisin SMITH, SNP
Siobhan TOLLAND, SNP
Kate TREHARNE, Grn
1 6 0 0 3 0 2 4 5 1
1 3 4 5 1 9 2 8 7 6
1 1 0 4 0 3 0 0 0 2
1 6 7 9 4 5 8 1 2 3
1 5 0 4 1 0 2 6 0 3
3 4 9 8 6 7 5 1 2 3
1 0 0 4 1 0 3 2 0 5
1 2 0 1 0 3 0 0 0 0
1 0 3 2 1 0 0 0 0 4
1 2 3 1 4 5 6 7 8 9
1 3 6 4 2 0 1 0 0 5
5 3 5 4 1 0 2 0 0 0
1 3 0 2 0 0 4 0 0 1
1 0 0 1 0 0 2 3 0 4
1 3 4 5 2 1 6 7 9 8
1 0 0 0 5 0 2 4 1 3
2 5 0 0 3 0 4 1 2 6
3 0 1 0 2 0 0 3 0 0
6 0 0 2 1 0 0 0 0 0
4 0 4 0 0 3 0 1 2 0
1 6 8 0 7 3 5 1 2 4
1 9 8 7 4 6 3 1 2 5
1 3 0 0 6 0 4 1 2 5
1 0 3 0 2 0 1 0 0 4
1 3 6 7 2 5 1 8 9 4
1 5 7 8 6 1 9 2 3 4
3 0 5 0 0 4 0 1 2 3
10 0 0 0 0 2 0 1 3 0
3 6 9 8 1 7 2 3 4 5
3 0 0 0 0 3 2 1 0 0
3 0 5 0 0 3 0 1 2 4
1 7 4 9 6 8 5 1 2 3
1 0 2 0 0 3 0 0 0 1
1 5 7 6 8 2 9 3 4 1
1 1 6 4 3 9 2 8 7 5
1 3 0 0 1 0 0 2 4 0
2 0 1 2 3 0 0 0 0 0
1 0 0 4 0 0 0 1 2 3
1 2 1 4 3 5 8 6 7 9
1 0 0 0 0 0 1 0 0 2
1 7 8 9 4 3 5 2 1 6
1 2 0 0 5 0 6 3 4 1
1 2 4 3 1 5 0 0 0 0
1 3 0 0 1 0 4 2 5 6
2 5 6 9 8 4 7 1 2 3
1 7 8 9 4 1 6 5 2 3
1 0 0 0 5 3 4 1 2 0
1 0 0 0 0 0 3 0 2 1
1 5 6 7 3 8 4 1 2 9
2 5 9 8 1 7 2 3 4 6
1 0 0 0 1 6 5 3 2 4
